L,J,nsteps,nth,nspin,n,file
6,0.0,1225000,1225000,1225,100,L6_J0.0.txt
6,0.1,1225000,1225000,1225,100,L6_J0.1.txt
6,0.2,1225000,1225000,1225,100,L6_J0.2.txt
6,0.3,1225000,1225000,1225,100,L6_J0.3.txt
6,0.4,1225000,1225000,1225,100,L6_J0.4.txt
6,0.5,1225000,1225000,1225,100,L6_J0.5.txt
6,0.6,1225000,1225000,1225,100,L6_J0.6.txt
6,0.7,1225000,1225000,1225,100,L6_J0.7.txt
6,0.8,1225000,1225000,1225,100,L6_J0.8.txt
6,0.9,1225000,1225000,1225,100,L6_J0.9.txt
6,1.0,1225000,1225000,1225,100,L6_J1.0.txt
6,1.1,1225000,1225000,1225,100,L6_J1.1.txt
6,1.2,1225000,1225000,1225,100,L6_J1.2.txt
6,1.3,1225000,1225000,1225,100,L6_J1.3.txt
6,1.4,1225000,1225000,1225,100,L6_J1.4.txt
8,0.0,1336500,1336500,2673,100,L8_J0.0.txt
8,0.1,1336500,1336500,2673,100,L8_J0.1.txt
8,0.2,1336500,1336500,2673,100,L8_J0.2.txt
8,0.3,1336500,1336500,2673,100,L8_J0.3.txt
8,0.4,1336500,1336500,2673,100,L8_J0.4.txt
8,0.5,1336500,1336500,2673,100,L8_J0.5.txt
8,0.6,1336500,1336500,2673,100,L8_J0.6.txt
8,0.7,1336500,1336500,2673,100,L8_J0.7.txt
8,0.8,1336500,1336500,2673,100,L8_J0.8.txt
8,0.9,1336500,1336500,2673,100,L8_J0.9.txt
8,1.0,1336500,1336500,2673,100,L8_J1.0.txt
8,1.1,1336500,1336500,2673,100,L8_J1.1.txt
8,1.2,1336500,1336500,2673,100,L8_J1.2.txt
8,1.3,1336500,1336500,2673,100,L8_J1.3.txt
8,1.4,1336500,1336500,2673,100,L8_J1.4.txt
10,0.0,992200,992200,4961,100,L10_J0.0.txt
10,0.1,992200,992200,4961,100,L10_J0.1.txt
10,0.2,992200,992200,4961,100,L10_J0.2.txt
10,0.3,992200,992200,4961,100,L10_J0.3.txt
10,0.4,992200,992200,4961,100,L10_J0.4.txt
10,0.5,992200,992200,4961,100,L10_J0.5.txt
10,0.6,992200,992200,4961,100,L10_J0.6.txt
10,0.7,992200,992200,4961,100,L10_J0.7.txt
10,0.8,992200,992200,4961,100,L10_J0.8.txt
10,0.9,992200,992200,4961,100,L10_J0.9.txt
10,1.0,992200,992200,4961,100,L10_J1.0.txt
10,1.1,992200,992200,4961,100,L10_J1.1.txt
10,1.2,992200,992200,4961,100,L10_J1.2.txt
10,1.3,992200,992200,4961,100,L10_J1.3.txt
10,1.4,992200,992200,4961,100,L10_J1.4.txt
12,0.0,828100,828100,8281,100,L12_J0.0.txt
12,0.1,828100,828100,8281,100,L12_J0.1.txt
12,0.2,828100,828100,8281,100,L12_J0.2.txt
12,0.3,828100,828100,8281,100,L12_J0.3.txt
12,0.4,828100,828100,8281,100,L12_J0.4.txt
12,0.5,828100,828100,8281,100,L12_J0.5.txt
12,0.6,828100,828100,8281,100,L12_J0.6.txt
12,0.7,828100,828100,8281,100,L12_J0.7.txt
12,0.8,828100,828100,8281,100,L12_J0.8.txt
12,0.9,828100,828100,8281,100,L12_J0.9.txt
12,1.0,828100,828100,8281,100,L12_J1.0.txt
12,1.1,828100,828100,8281,100,L12_J1.1.txt
12,1.2,828100,828100,8281,100,L12_J1.2.txt
12,1.3,828100,828100,8281,100,L12_J1.3.txt
12,1.4,828100,828100,8281,100,L12_J1.4.txt
14,0.0,641250,641250,12825,100,L14_J0.0.txt
14,0.1,641250,641250,12825,100,L14_J0.1.txt
14,0.2,641250,641250,12825,100,L14_J0.2.txt
14,0.3,641250,641250,12825,100,L14_J0.3.txt
14,0.4,641250,641250,12825,100,L14_J0.4.txt
14,0.5,641250,641250,12825,100,L14_J0.5.txt
14,0.6,641250,641250,12825,100,L14_J0.6.txt
14,0.7,641250,641250,12825,100,L14_J0.7.txt
14,0.8,641250,641250,12825,100,L14_J0.8.txt
14,0.9,641250,641250,12825,100,L14_J0.9.txt
14,1.0,641250,641250,12825,100,L14_J1.0.txt
14,1.1,641250,641250,12825,100,L14_J1.1.txt
14,1.2,641250,641250,12825,100,L14_J1.2.txt
14,1.3,641250,641250,12825,100,L14_J1.3.txt
14,1.4,641250,641250,12825,100,L14_J1.4.txt
16,0.0,187850,187850,18785,100,L16_J0.0.txt
16,0.1,187850,187850,18785,100,L16_J0.1.txt
16,0.2,187850,187850,18785,100,L16_J0.2.txt
16,0.3,187850,187850,18785,100,L16_J0.3.txt
16,0.4,187850,187850,18785,100,L16_J0.4.txt
16,0.5,187850,187850,18785,100,L16_J0.5.txt
16,0.6,187850,187850,18785,100,L16_J0.6.txt
16,0.7,187850,187850,18785,100,L16_J0.7.txt
16,0.8,187850,187850,18785,100,L16_J0.8.txt
16,0.9,187850,187850,18785,100,L16_J0.9.txt
16,1.0,187850,187850,18785,100,L16_J1.0.txt
16,1.1,187850,187850,18785,100,L16_J1.1.txt
16,1.2,187850,187850,18785,100,L16_J1.2.txt
16,1.3,187850,187850,18785,100,L16_J1.3.txt
16,1.4,187850,187850,18785,100,L16_J1.4.txt
